"subjects"	"S"	"instruction"	"R"	"rt"
"4419"	"3"	"left"	"speed"	"left"	0.203830776247924
"3003"	"3"	"left"	"accuracy"	"right"	0.631988810540134
"4647"	"3"	"right"	"accuracy"	"right"	0.642873798794499
"2511"	"3"	"right"	"speed"	"right"	0.645367287457237
"975"	"3"	"right"	"speed"	"right"	0.177462611870608
"879"	"3"	"right"	"speed"	"right"	0.357479306848562
"3051"	"3"	"left"	"accuracy"	"left"	0.37155186706221
"1191"	"3"	"right"	"accuracy"	"right"	0.322927372572385
"4911"	"3"	"right"	"speed"	"right"	0.361121571214821
"399"	"3"	"right"	"speed"	"left"	0.443957797976423
"2883"	"3"	"left"	"speed"	"left"	0.245516882867425
"423"	"3"	"right"	"accuracy"	"right"	0.536853608094364
"927"	"3"	"right"	"speed"	"right"	0.345913438657122
"4431"	"3"	"right"	"speed"	"right"	0.251987417283996
"2799"	"3"	"right"	"speed"	"right"	0.29940535752111
"4407"	"3"	"right"	"accuracy"	"right"	0.91698033993518
"87"	"3"	"right"	"accuracy"	"right"	0.61071774441659
"2211"	"3"	"left"	"speed"	"left"	0.237035373562195
"5331"	"3"	"left"	"speed"	"right"	0.173443007069436
"2055"	"3"	"right"	"accuracy"	"right"	0.769486545603615
"3543"	"3"	"right"	"accuracy"	"right"	0.632814849293426
"2739"	"3"	"left"	"speed"	"left"	0.201134621532274
"4335"	"3"	"right"	"speed"	"left"	0.216230744751566
"4887"	"3"	"right"	"accuracy"	"right"	0.343783790623374
"2127"	"3"	"right"	"speed"	"right"	0.16547743549161
"963"	"3"	"left"	"speed"	"right"	0.901915564665162
"3183"	"3"	"right"	"speed"	"right"	0.264451380084944
"207"	"3"	"right"	"speed"	"right"	0.329442549834505
"2871"	"3"	"right"	"accuracy"	"right"	0.699787570055708
"99"	"3"	"left"	"speed"	"right"	0.259057270511731
"4815"	"3"	"right"	"speed"	"right"	0.217159604593313
"2163"	"3"	"left"	"speed"	"left"	0.207351112262928
"1623"	"3"	"right"	"accuracy"	"right"	0.30262282226853
"2751"	"3"	"right"	"speed"	"right"	0.233911490549439
"2415"	"3"	"right"	"speed"	"left"	0.228098021402386
"2787"	"3"	"left"	"speed"	"right"	0.17443095364873
"5007"	"3"	"right"	"speed"	"right"	0.335038724144767
"483"	"3"	"left"	"speed"	"right"	0.221102432757158
"3771"	"3"	"left"	"accuracy"	"left"	0.87055071086217
"1359"	"3"	"right"	"speed"	"right"	0.168119687824821
"255"	"3"	"right"	"speed"	"right"	0.265725204727105
"4287"	"3"	"right"	"speed"	"right"	0.527014292499917
"759"	"3"	"right"	"accuracy"	"right"	1.41340064764239
"5271"	"3"	"right"	"accuracy"	"right"	0.91540651615
"4923"	"3"	"left"	"accuracy"	"left"	1.42513962894022
"999"	"3"	"right"	"accuracy"	"left"	0.303310249836417
"4383"	"3"	"right"	"speed"	"right"	0.193429635257615
"4731"	"3"	"left"	"accuracy"	"right"	1.57408390403162
"4863"	"3"	"right"	"speed"	"left"	0.296826310344385
"5235"	"3"	"left"	"speed"	"left"	0.246027391692133
"1755"	"3"	"left"	"accuracy"	"left"	0.482492358495802
"1059"	"3"	"left"	"speed"	"left"	0.585926098138073
"3843"	"3"	"left"	"speed"	"right"	0.259875403236916
"4767"	"3"	"right"	"speed"	"right"	0.183928788447416
"3567"	"3"	"right"	"speed"	"right"	0.460961333478443
"5511"	"3"	"right"	"accuracy"	"right"	1.0348442389577
"3207"	"3"	"right"	"accuracy"	"right"	1.07947377415954
"2559"	"3"	"right"	"speed"	"left"	0.184822003222455
"3999"	"3"	"right"	"speed"	"right"	0.246857615377979
"2271"	"3"	"right"	"speed"	"right"	0.276707232832639
"4635"	"3"	"left"	"accuracy"	"right"	0.298209064174429
"3603"	"3"	"left"	"speed"	"left"	0.682107448692815
"1815"	"3"	"right"	"accuracy"	"left"	0.511720816716786
"819"	"3"	"left"	"speed"	"left"	0.34446682366389
"147"	"3"	"left"	"speed"	"left"	0.224215593069158
"2607"	"3"	"right"	"speed"	"right"	0.381335737956379
"1515"	"3"	"left"	"accuracy"	"left"	0.664916429000887
"3759"	"3"	"right"	"speed"	"left"	0.366359676172999
"3471"	"3"	"right"	"speed"	"right"	0.276244265857832
"3495"	"3"	"right"	"accuracy"	"right"	0.23082916990261
"3687"	"3"	"right"	"accuracy"	"right"	0.415602846507066
"603"	"3"	"left"	"accuracy"	"left"	0.47404033350221
"4323"	"3"	"left"	"speed"	"left"	0.199616120673261
"3903"	"3"	"right"	"speed"	"right"	0.584748568389811
"3483"	"3"	"left"	"accuracy"	"left"	0.575634897026955
"915"	"3"	"left"	"speed"	"right"	0.364214104367289
"2967"	"3"	"right"	"accuracy"	"left"	0.75754885727019
"1539"	"3"	"left"	"speed"	"right"	0.225994700815181
"4719"	"3"	"right"	"speed"	"right"	0.231082322687207
"4179"	"3"	"left"	"speed"	"left"	0.202637846536827
"1707"	"3"	"left"	"accuracy"	"left"	0.813076754664424
"2775"	"3"	"right"	"accuracy"	"right"	0.628741609639117
"1251"	"3"	"left"	"speed"	"left"	0.26882599881709
"1443"	"3"	"left"	"speed"	"left"	0.221150187771991
"4227"	"3"	"left"	"speed"	"left"	0.430680196373825
"4983"	"3"	"right"	"accuracy"	"right"	0.75025146705685
"2319"	"3"	"right"	"speed"	"right"	0.305089403486171
"3291"	"3"	"left"	"accuracy"	"left"	1.65758855915276
"1323"	"3"	"left"	"accuracy"	"left"	0.750783172611104
"363"	"3"	"left"	"accuracy"	"left"	0.378475530462708
"2439"	"3"	"right"	"accuracy"	"right"	0.357660427183578
"3267"	"3"	"left"	"speed"	"left"	0.163795076688151
"2235"	"3"	"left"	"accuracy"	"right"	0.841993905249563
"123"	"3"	"left"	"accuracy"	"left"	1.17261962614085
"1659"	"3"	"left"	"accuracy"	"right"	0.598069191617063
"2655"	"3"	"right"	"speed"	"right"	0.241510035336907
"2979"	"3"	"left"	"speed"	"left"	0.266325998870035
"1971"	"3"	"left"	"speed"	"left"	0.326574398657455
"1167"	"3"	"right"	"speed"	"right"	0.32442989225004
"3231"	"3"	"right"	"speed"	"right"	0.19199726344377
"5019"	"3"	"left"	"accuracy"	"left"	0.951599547417156
"2331"	"3"	"left"	"accuracy"	"right"	1.26003747340635
"2487"	"3"	"right"	"accuracy"	"right"	0.502530829795175
"3423"	"3"	"right"	"speed"	"left"	0.548024174863172
"267"	"3"	"left"	"accuracy"	"right"	0.242515405938456
"3747"	"3"	"left"	"speed"	"left"	0.997707643188863
"3459"	"3"	"left"	"speed"	"right"	0.199829068088201
"4479"	"3"	"right"	"speed"	"right"	0.332578694121674
"5403"	"3"	"left"	"accuracy"	"left"	0.340381360954365
"496"	"4"	"right"	"speed"	"right"	0.387070592521895
"40"	"4"	"right"	"accuracy"	"right"	1.0048863042171
"4636"	"4"	"left"	"accuracy"	"right"	0.877522867016693
"4528"	"4"	"right"	"speed"	"right"	0.544207763601066
"4144"	"4"	"right"	"speed"	"left"	0.429509081568228
"2524"	"4"	"left"	"accuracy"	"left"	1.06557134020815
"5044"	"4"	"left"	"speed"	"right"	0.566450252682501
"472"	"4"	"right"	"accuracy"	"left"	0.850427182955085
"4168"	"4"	"right"	"accuracy"	"right"	1.58439903762028
"1816"	"4"	"right"	"accuracy"	"left"	0.418651781883986
"4564"	"4"	"left"	"speed"	"right"	1.15122322494211
"1648"	"4"	"right"	"speed"	"right"	0.344553564424221
"4156"	"4"	"left"	"accuracy"	"left"	0.618576047946807
"796"	"4"	"left"	"accuracy"	"left"	0.570967822786947
"4024"	"4"	"right"	"accuracy"	"right"	0.77690853723146
"400"	"4"	"right"	"speed"	"right"	0.532059592726689
"1408"	"4"	"right"	"speed"	"right"	0.497417270688744
"448"	"4"	"right"	"speed"	"right"	0.537722398714158
"5116"	"4"	"left"	"accuracy"	"left"	1.06938936129811
"1888"	"4"	"right"	"speed"	"right"	0.616318144293368
"4132"	"4"	"left"	"speed"	"left"	1.20061054863367
"4288"	"4"	"right"	"speed"	"right"	0.336337729156209
"3052"	"4"	"left"	"accuracy"	"left"	1.05630028431289
"808"	"4"	"right"	"accuracy"	"right"	0.817007828569333
"5344"	"4"	"right"	"speed"	"left"	1.02414786680113
"3424"	"4"	"right"	"speed"	"right"	0.440265311238829
"3100"	"4"	"left"	"accuracy"	"left"	0.602776990169688
"5152"	"4"	"right"	"speed"	"left"	1.00463958810838
"2236"	"4"	"left"	"accuracy"	"left"	1.32566894962921
"2632"	"4"	"right"	"accuracy"	"left"	0.832051784796418
"3436"	"4"	"left"	"accuracy"	"left"	0.557132622499017
"4552"	"4"	"right"	"accuracy"	"right"	1.7029145222651
"3256"	"4"	"right"	"accuracy"	"right"	1.28608002632678
"4912"	"4"	"right"	"speed"	"right"	0.418236926925923
"3280"	"4"	"right"	"speed"	"left"	1.10355773782637
"4336"	"4"	"right"	"speed"	"left"	0.456574380350548
"460"	"4"	"left"	"accuracy"	"left"	0.394059583581815
"5380"	"4"	"left"	"speed"	"left"	0.544742746562426
"4696"	"4"	"right"	"accuracy"	"left"	1.5634970237694
"3544"	"4"	"right"	"accuracy"	"right"	1.52596140243643
"4084"	"4"	"left"	"speed"	"left"	0.369701717026671
"4600"	"4"	"right"	"accuracy"	"right"	0.489550698979957
"664"	"4"	"right"	"accuracy"	"right"	0.490026156744577
"340"	"4"	"left"	"speed"	"right"	0.777409957879588
"712"	"4"	"right"	"accuracy"	"right"	1.30917112882464
"3724"	"4"	"left"	"accuracy"	"left"	0.481898909489689
"3340"	"4"	"left"	"accuracy"	"left"	0.927577823885811
"2500"	"4"	"left"	"speed"	"left"	0.386747195143163
"5188"	"4"	"left"	"speed"	"left"	0.604936131911824
"3964"	"4"	"left"	"accuracy"	"right"	0.564991060151226
"3664"	"4"	"right"	"speed"	"right"	0.874342966972755
"5200"	"4"	"right"	"speed"	"right"	0.797074792534114
"2692"	"4"	"left"	"speed"	"left"	0.490814440546594
"5440"	"4"	"right"	"speed"	"right"	0.548025014217854
"3292"	"4"	"left"	"accuracy"	"right"	0.622891501115552
"3364"	"4"	"left"	"speed"	"right"	1.00849738074414
"3940"	"4"	"left"	"speed"	"left"	0.563268643244802
"352"	"4"	"right"	"speed"	"right"	0.486569864207054
"4228"	"4"	"left"	"speed"	"left"	0.879208313992812
"4504"	"4"	"right"	"accuracy"	"right"	0.618791075526903
"5476"	"4"	"left"	"speed"	"left"	0.449162769106945
"1492"	"4"	"left"	"speed"	"left"	0.685322365832492
"4396"	"4"	"left"	"accuracy"	"left"	0.885686955980893
"1480"	"4"	"right"	"accuracy"	"right"	0.396480679966355
"4264"	"4"	"right"	"accuracy"	"right"	2.4538560147386
"4096"	"4"	"right"	"speed"	"right"	0.7588383862936
"5176"	"4"	"right"	"accuracy"	"right"	0.767057127305291
"3784"	"4"	"right"	"accuracy"	"left"	1.16370838851156
"3988"	"4"	"left"	"speed"	"left"	0.49844337844089
"4588"	"4"	"left"	"accuracy"	"right"	0.869748431279155
"2404"	"4"	"left"	"speed"	"right"	0.689775229383178
"5428"	"4"	"left"	"speed"	"left"	0.583315291521875
"856"	"4"	"right"	"accuracy"	"left"	1.20076504709705
"2740"	"4"	"left"	"speed"	"left"	0.762819774497165
"4480"	"4"	"right"	"speed"	"left"	0.350958694418793
"280"	"4"	"right"	"accuracy"	"right"	1.00605467630251
"5056"	"4"	"right"	"speed"	"left"	0.42670815951603
"4852"	"4"	"left"	"speed"	"right"	1.11267599541568
"916"	"4"	"left"	"speed"	"right"	0.335612110742911
"1288"	"4"	"right"	"accuracy"	"right"	0.830434105919624
"2608"	"4"	"right"	"speed"	"right"	0.467161031069134
"3124"	"4"	"left"	"speed"	"left"	0.423177201761734
"3208"	"4"	"right"	"accuracy"	"right"	1.83087121507592
"4792"	"4"	"right"	"accuracy"	"right"	0.692759416372992
"988"	"4"	"left"	"accuracy"	"left"	0.500269476262876
"136"	"4"	"right"	"accuracy"	"left"	0.459557677083625
"2032"	"4"	"right"	"speed"	"right"	0.93907707296023
"976"	"4"	"right"	"speed"	"right"	0.40100724710269
"4936"	"4"	"right"	"accuracy"	"right"	0.773695558377289
"4000"	"4"	"right"	"speed"	"left"	0.414243607351244
"1204"	"4"	"left"	"speed"	"right"	1.17160853989223
"2716"	"4"	"left"	"accuracy"	"right"	0.43878818900701
"1348"	"4"	"left"	"speed"	"right"	0.423568626003225
"3460"	"4"	"left"	"speed"	"left"	0.378220172989084
"232"	"4"	"right"	"accuracy"	"right"	0.924084593056947
"1036"	"4"	"left"	"accuracy"	"right"	0.630703346001917
"5128"	"4"	"right"	"accuracy"	"right"	0.63026061658746
"640"	"4"	"right"	"speed"	"right"	0.391847231412605
"5008"	"4"	"right"	"speed"	"left"	0.422975569659576
"4072"	"4"	"right"	"accuracy"	"right"	0.669957416103381
"1168"	"4"	"right"	"speed"	"left"	0.507743803405546
"3520"	"4"	"right"	"speed"	"left"	1.04178542952311
"1984"	"4"	"right"	"speed"	"right"	0.425578336842505
"1864"	"4"	"right"	"accuracy"	"right"	0.797336749562506
"4204"	"4"	"left"	"accuracy"	"left"	0.828445257215188
"1132"	"4"	"left"	"accuracy"	"left"	0.569916978944971
"2020"	"4"	"left"	"speed"	"left"	1.14494426142303
"4672"	"4"	"right"	"speed"	"right"	0.464512111764512
"3856"	"4"	"right"	"speed"	"right"	0.738778079361578
"3592"	"4"	"right"	"accuracy"	"right"	0.640268616521893
"4192"	"4"	"right"	"speed"	"right"	0.744319466164495
"4108"	"4"	"left"	"accuracy"	"left"	0.643502176331334
"3556"	"4"	"left"	"speed"	"left"	0.50434822767994
"3868"	"4"	"left"	"accuracy"	"left"	0.749367820834092
"2452"	"4"	"left"	"speed"	"left"	0.449709489427684
"532"	"4"	"left"	"speed"	"left"	0.689345040978368
"1468"	"4"	"left"	"accuracy"	"left"	1.56616972752446
"1720"	"4"	"right"	"accuracy"	"left"	0.65040887723931
"2332"	"4"	"left"	"accuracy"	"right"	0.592724484098268
"3196"	"4"	"left"	"accuracy"	"left"	0.603766976179879
"2596"	"4"	"left"	"speed"	"left"	0.479851395203596
"4408"	"4"	"right"	"accuracy"	"right"	0.627043788137898
"1936"	"4"	"right"	"speed"	"left"	1.45808582165979
"2044"	"4"	"left"	"accuracy"	"left"	0.630259854386701
"4384"	"4"	"right"	"speed"	"right"	0.34644904203379
"4828"	"4"	"left"	"accuracy"	"left"	0.476916104031484
"3772"	"4"	"left"	"accuracy"	"left"	0.578437411846238
"2932"	"4"	"left"	"speed"	"left"	0.523077570671121
"1852"	"4"	"left"	"accuracy"	"left"	0.458997683224736
"1180"	"4"	"left"	"accuracy"	"left"	1.28513313256451
"3508"	"4"	"left"	"speed"	"left"	0.672413369761384
"4984"	"4"	"right"	"accuracy"	"left"	0.658915865482389
"3016"	"4"	"right"	"accuracy"	"left"	0.748097061251822
"556"	"4"	"left"	"accuracy"	"left"	0.906734124540944
"4120"	"4"	"right"	"accuracy"	"left"	0.525222765511935
"4684"	"4"	"left"	"accuracy"	"left"	0.40173427220252
"5164"	"4"	"left"	"accuracy"	"right"	0.754703380701746
"5068"	"4"	"left"	"accuracy"	"right"	0.459273720388422
"1576"	"4"	"right"	"accuracy"	"left"	0.594536510999388
"1144"	"4"	"right"	"accuracy"	"left"	0.439360761954496
"1792"	"4"	"right"	"speed"	"right"	0.400599263087914
"1912"	"4"	"right"	"accuracy"	"right"	1.29408081409138
"928"	"4"	"right"	"speed"	"left"	0.430762068668622
"1372"	"4"	"left"	"accuracy"	"left"	1.28648345700588
"388"	"4"	"left"	"speed"	"left"	0.515278688161259
"4012"	"4"	"left"	"accuracy"	"right"	0.758469496059229
"1564"	"4"	"left"	"accuracy"	"left"	2.50254302965418
"2428"	"4"	"left"	"accuracy"	"right"	1.45832234715311
"328"	"4"	"right"	"accuracy"	"left"	1.21055516287741
"4660"	"4"	"left"	"speed"	"right"	0.406338826586845
"5452"	"4"	"left"	"accuracy"	"left"	0.551778344327785
"568"	"4"	"right"	"accuracy"	"right"	0.505638689186153
"5356"	"4"	"left"	"accuracy"	"right"	1.29374276623839
"1996"	"4"	"left"	"accuracy"	"right"	1.07872920016042
"4780"	"4"	"left"	"accuracy"	"left"	0.633023470665802
"4816"	"4"	"right"	"speed"	"right"	0.38240665060111
"2764"	"4"	"left"	"accuracy"	"left"	0.766539169799194
"1696"	"4"	"right"	"speed"	"right"	0.614028650056097
"4732"	"4"	"left"	"accuracy"	"left"	0.731969308985364
"2512"	"4"	"right"	"speed"	"right"	0.462221327929662
"220"	"4"	"left"	"accuracy"	"left"	0.621864812073019
"4648"	"4"	"right"	"accuracy"	"left"	1.03728924070506
"3004"	"4"	"left"	"accuracy"	"left"	0.542447339304903
"2164"	"4"	"left"	"speed"	"left"	0.800812633439225
"520"	"4"	"right"	"accuracy"	"left"	3.17907186660907
"3316"	"4"	"left"	"speed"	"left"	0.374501637223082
"868"	"4"	"left"	"speed"	"left"	0.626156332881908
"1192"	"4"	"right"	"accuracy"	"left"	1.06953378413391
"1732"	"4"	"left"	"speed"	"left"	0.992757514696756
"2752"	"4"	"right"	"speed"	"left"	0.554841070768651
"3628"	"4"	"left"	"accuracy"	"left"	0.600583493229785
"1000"	"4"	"right"	"accuracy"	"left"	0.426399514049634
"1384"	"4"	"right"	"accuracy"	"right"	0.836003452494705
"1552"	"4"	"right"	"speed"	"right"	0.603155371219176
"2680"	"4"	"right"	"accuracy"	"right"	0.807336694928379
"760"	"4"	"right"	"accuracy"	"right"	0.572958093556737
"3688"	"4"	"right"	"accuracy"	"right"	0.567555555901341
"952"	"4"	"right"	"accuracy"	"right"	0.633506835263856
"4708"	"4"	"left"	"speed"	"left"	0.441742511711665
"5416"	"4"	"right"	"accuracy"	"right"	0.643854303137974
"2260"	"4"	"left"	"speed"	"left"	0.49385906745689
"3832"	"4"	"right"	"accuracy"	"right"	1.04330244295351
"2488"	"4"	"right"	"accuracy"	"right"	1.62253962897498
"3700"	"4"	"left"	"speed"	"left"	0.543537932695856
"2056"	"4"	"right"	"accuracy"	"right"	0.615203811742614
"268"	"4"	"left"	"accuracy"	"right"	1.2396222541349
"2008"	"4"	"right"	"accuracy"	"right"	1.00341591734712
"1528"	"4"	"right"	"accuracy"	"right"	0.851461894829966
"688"	"4"	"right"	"speed"	"right"	0.440616275995525
"2272"	"4"	"right"	"speed"	"right"	0.503379866361645
"5140"	"4"	"left"	"speed"	"left"	0.439295854588153
"3040"	"4"	"right"	"speed"	"right"	0.569246776915637
"364"	"4"	"left"	"accuracy"	"right"	0.525691285816289
"1924"	"4"	"left"	"speed"	"left"	0.516410918126715
"1420"	"4"	"left"	"accuracy"	"left"	0.515178618477517
"5464"	"4"	"right"	"accuracy"	"right"	0.619690225774811
"5260"	"4"	"left"	"accuracy"	"left"	0.6521542016142
"3976"	"4"	"right"	"accuracy"	"right"	1.28585174349201
"1588"	"4"	"left"	"speed"	"right"	0.502717887573976
"5500"	"4"	"left"	"accuracy"	"left"	1.57330795541055
"2776"	"4"	"right"	"accuracy"	"right"	0.750402370553569
"4216"	"4"	"right"	"accuracy"	"left"	1.94257064538491
"3172"	"4"	"left"	"speed"	"left"	0.634017451298563
"1228"	"4"	"left"	"accuracy"	"left"	0.493079710686479
"2128"	"4"	"right"	"speed"	"left"	0.397053141990168
"4240"	"4"	"right"	"speed"	"left"	0.409564567435034
"4540"	"4"	"left"	"accuracy"	"left"	1.34978515528145
"4516"	"4"	"left"	"speed"	"left"	0.468172660794542
"3412"	"4"	"left"	"speed"	"left"	1.2692626937594
"3892"	"4"	"left"	"speed"	"right"	0.651873144491704
"2176"	"4"	"right"	"speed"	"right"	0.696280096983096
"3028"	"4"	"left"	"speed"	"left"	0.664423263787196
"76"	"4"	"left"	"accuracy"	"left"	1.08550589443975
"736"	"4"	"right"	"speed"	"left"	0.648360914721521
"1252"	"4"	"left"	"speed"	"left"	0.706019034175684
"2440"	"4"	"right"	"accuracy"	"right"	1.04613806096531
"2920"	"4"	"right"	"accuracy"	"right"	1.34199433934224
"1612"	"4"	"left"	"accuracy"	"left"	0.766972870446837
"3136"	"4"	"right"	"speed"	"right"	1.19998223199725
"508"	"4"	"left"	"accuracy"	"left"	1.08203876827805
"5224"	"4"	"right"	"accuracy"	"right"	0.777995768217597
"1768"	"4"	"right"	"accuracy"	"right"	0.413894761661791
"1540"	"4"	"left"	"speed"	"left"	0.524243040243241
"3400"	"4"	"right"	"accuracy"	"right"	1.01615938973198
"64"	"4"	"right"	"speed"	"right"	0.563183333472855
"3952"	"4"	"right"	"speed"	"right"	0.376094592931803
"1708"	"4"	"left"	"accuracy"	"right"	0.689687483590289
"1096"	"4"	"right"	"accuracy"	"right"	1.06995441033512
"4624"	"4"	"right"	"speed"	"right"	1.70571855949909
"2248"	"4"	"right"	"accuracy"	"right"	0.938395317356797
"2788"	"4"	"left"	"speed"	"left"	1.01569375920299
"1876"	"4"	"left"	"speed"	"left"	1.32142661719361
"52"	"4"	"left"	"speed"	"left"	0.598003445870673
"376"	"4"	"right"	"accuracy"	"left"	2.03339135335941
"436"	"4"	"left"	"speed"	"left"	1.01168362132774
"2956"	"4"	"left"	"accuracy"	"left"	2.23656748686557
"3352"	"4"	"right"	"accuracy"	"right"	0.560517105761577
"2416"	"4"	"right"	"speed"	"right"	0.946074031565178
"1312"	"4"	"right"	"speed"	"right"	1.6480152816153
"2344"	"4"	"right"	"accuracy"	"right"	0.507612342416116
"5320"	"4"	"right"	"accuracy"	"left"	0.984679618092904
"3388"	"4"	"left"	"accuracy"	"left"	0.481616206033222
"2644"	"4"	"left"	"speed"	"left"	0.355689855452543
"3472"	"4"	"right"	"speed"	"left"	0.550945575787894
"3844"	"4"	"left"	"speed"	"right"	0.462303055542573
"4960"	"4"	"right"	"speed"	"left"	0.534032918476203
"3712"	"4"	"right"	"speed"	"right"	0.501956143031935
"4768"	"4"	"right"	"speed"	"left"	0.445853908662259
"2572"	"4"	"left"	"accuracy"	"left"	0.615830046424589
"4444"	"4"	"left"	"accuracy"	"left"	0.952495334212168
"1048"	"4"	"right"	"accuracy"	"right"	2.01749870504259
"544"	"4"	"right"	"speed"	"right"	0.442775466200222
"2944"	"4"	"right"	"speed"	"left"	0.566765724721607
"3244"	"4"	"left"	"accuracy"	"left"	0.500164363569245
"5368"	"4"	"right"	"accuracy"	"left"	0.944661474604413
"4756"	"4"	"left"	"speed"	"left"	0.495321863067549
"2068"	"4"	"left"	"speed"	"right"	0.41904109083902
"3916"	"4"	"left"	"accuracy"	"left"	1.28551194128737
"2188"	"4"	"left"	"accuracy"	"left"	0.85552035530032
"4576"	"4"	"right"	"speed"	"right"	0.736034945290525
"5272"	"4"	"right"	"accuracy"	"left"	0.646083726858792
"256"	"4"	"right"	"speed"	"left"	0.582408400508766
"4348"	"4"	"left"	"accuracy"	"right"	0.897384999177967
"2728"	"4"	"right"	"accuracy"	"right"	0.650518018598465
"1828"	"4"	"left"	"speed"	"left"	0.695689410000612
"2800"	"4"	"right"	"speed"	"right"	0.577309433292644
"5032"	"4"	"right"	"accuracy"	"right"	0.782654044370866
"1024"	"4"	"right"	"speed"	"left"	1.00002392306784
"3748"	"4"	"left"	"speed"	"left"	0.563102009272272
"304"	"4"	"right"	"speed"	"right"	0.785503160367154
"3928"	"4"	"right"	"accuracy"	"right"	2.00870293859478
"5092"	"4"	"left"	"speed"	"left"	0.784167232660311
"4420"	"4"	"left"	"speed"	"left"	0.437897505179799
"1948"	"4"	"left"	"accuracy"	"left"	1.24421430609239
"1636"	"4"	"left"	"speed"	"right"	0.50555034888063
"2284"	"4"	"left"	"accuracy"	"left"	2.44798354158994
"1672"	"4"	"right"	"accuracy"	"left"	0.676582242139363
"3328"	"4"	"right"	"speed"	"right"	0.462941073816708
"2896"	"4"	"right"	"speed"	"right"	1.05475798536496
"4468"	"4"	"left"	"speed"	"right"	0.379408635920692
"1240"	"4"	"right"	"accuracy"	"left"	1.3212466577225
"880"	"4"	"right"	"speed"	"right"	0.443593294154912
"2668"	"4"	"left"	"accuracy"	"left"	1.17403598816105
"2092"	"4"	"left"	"accuracy"	"left"	1.34626962321871
"3736"	"4"	"right"	"accuracy"	"left"	0.691875104428798
"940"	"4"	"left"	"accuracy"	"left"	1.13685072896215
"1972"	"4"	"left"	"speed"	"right"	1.42150354390282
"5512"	"4"	"right"	"accuracy"	"right"	0.429763611716178
"1060"	"4"	"left"	"speed"	"left"	0.813134084921304
"3220"	"4"	"left"	"speed"	"right"	0.680093586281315
"4036"	"4"	"left"	"speed"	"left"	0.627839330708912
"3760"	"4"	"right"	"speed"	"right"	1.02683051983124
"3616"	"4"	"right"	"speed"	"right"	0.449005335006352
"172"	"4"	"left"	"accuracy"	"right"	0.500698290072258
"652"	"4"	"left"	"accuracy"	"left"	0.682389023928013
"2704"	"4"	"right"	"speed"	"right"	0.447877086477833
"5236"	"4"	"left"	"speed"	"left"	0.382785179888264
"2392"	"4"	"right"	"accuracy"	"right"	1.20807787663914
"1444"	"4"	"left"	"speed"	"left"	0.648312826042472
"3376"	"4"	"right"	"speed"	"right"	1.07477840697374
"196"	"4"	"left"	"speed"	"left"	0.41290219618911
"1840"	"4"	"right"	"speed"	"right"	0.443947154847314
"2368"	"4"	"right"	"speed"	"right"	0.382495993646349
"820"	"4"	"left"	"speed"	"left"	0.546865107404574
"3304"	"4"	"right"	"accuracy"	"left"	0.469081072985292
"784"	"4"	"right"	"speed"	"right"	0.374374873944805
"748"	"4"	"left"	"accuracy"	"left"	1.1073075393893
"2656"	"4"	"right"	"speed"	"left"	1.67718262156079
"5404"	"4"	"left"	"accuracy"	"right"	0.881203986026628
"124"	"4"	"left"	"accuracy"	"right"	0.590365626309578
"1660"	"4"	"left"	"accuracy"	"right"	0.69636350264845
"4300"	"4"	"left"	"accuracy"	"left"	0.748911005877887
"1012"	"4"	"left"	"speed"	"left"	0.46501248289371
"2872"	"4"	"right"	"accuracy"	"right"	1.06649218700499
"2152"	"4"	"right"	"accuracy"	"right"	0.707385292947113
"3640"	"4"	"right"	"accuracy"	"right"	0.526769328754373
"1276"	"4"	"left"	"accuracy"	"left"	0.845564893181454
"4"	"4"	"left"	"speed"	"left"	0.625389569262276
"592"	"4"	"right"	"speed"	"left"	0.606779584581172
"1684"	"4"	"left"	"speed"	"right"	0.570014630240723
"832"	"4"	"right"	"speed"	"left"	0.432215246467104
"2548"	"4"	"left"	"speed"	"left"	0.392572263453434
"1900"	"4"	"left"	"accuracy"	"right"	0.827748864608015
"1396"	"4"	"left"	"speed"	"right"	0.413578688116781
"3088"	"4"	"right"	"speed"	"right"	0.345793378538642
"3796"	"4"	"left"	"speed"	"right"	0.591457133236466
"2308"	"4"	"left"	"speed"	"left"	0.439338783860396
"1072"	"4"	"right"	"speed"	"left"	0.555218492042989
"88"	"4"	"right"	"accuracy"	"left"	1.75620998661747
"3268"	"4"	"left"	"speed"	"left"	0.755101563069524
"4324"	"4"	"left"	"speed"	"left"	0.501309317731466
"1360"	"4"	"right"	"speed"	"right"	1.51216250171036
"4876"	"4"	"left"	"accuracy"	"left"	1.38607173341557
"3652"	"4"	"left"	"speed"	"left"	0.81342093233132
"4888"	"4"	"right"	"accuracy"	"right"	0.477578395253193
"1084"	"4"	"left"	"accuracy"	"left"	1.29685557144458
"4924"	"4"	"left"	"accuracy"	"left"	2.20582919225228
"4900"	"4"	"left"	"speed"	"right"	0.44482505768201
"1432"	"4"	"right"	"accuracy"	"right"	1.11912668673549
"2584"	"4"	"right"	"accuracy"	"right"	0.69390728392574
"160"	"4"	"right"	"speed"	"right"	0.459622181815653
"3064"	"4"	"right"	"accuracy"	"right"	1.31122904724975
"2464"	"4"	"right"	"speed"	"right"	0.580892131373654
"5104"	"4"	"right"	"speed"	"left"	0.533289220999914
